rowid	repo	accession	total citations	date made public	article reference	PubMed ID	Data Collection Article DOI	in ISI Web of Science? (Y/N)	How many merged citation records?	WoS Cited by how many?	COMMENTS	Dropbox filenames (for multiple files or multiple citations)	Google Scholar Search Term	Search results	Imported to Mendeley?														
417	GEOROC	7178	14	 SHANE PHIL, NAIRN I. A., SMITH V. C.	J. VOLCANOL. GEOTHERM. RES. 139 [2005] 295-313 	MAGMA MINGLING IN THE ~50 KA ROTOITI ERUPTION FROM OKATAINA VOLCANIC CENTRE: IMPLICATIONS FOR GEOCHEMICAL DIVERSITY AND CHRONOLOGY OF LARGE VOLUME RHYOLITES	 SHANE PHIL, NAIRN I. A., SMITH V. C.. MAGMA MINGLING IN THE ~50 KA ROTOITI ERUPTION FROM OKATAINA VOLCANIC CENTRE: IMPLICATIONS FOR GEOCHEMICAL DIVERSITY AND CHRONOLOGY OF LARGE VOLUME RHYOLITES. J. VOLCANOL. GEOTHERM. RES. 139 [2005] 295-313 	10.1016/j.jvolgeores.2004.08.012	y	1	14			GEOROC7178 OR "GEOROC 7178"	0														
418	GEOROC	7865	5	 GESHI N.	J. VOLCANOL. GEOTHERM. RES. 141 [2005] 267-281 	STRUCTURAL DEVELOPMENT OF DIKE SWARMS CONTROLLED BY THE CHANGE OF MAGMA SUPPLY RATE: THE CONE SHEETS AND PARALLEL DIKE SWARMS OF THE MIOCENE OTOGE IGNEOUS COMPLEX, CENTRAL JAPAN	 GESHI N.. STRUCTURAL DEVELOPMENT OF DIKE SWARMS CONTROLLED BY THE CHANGE OF MAGMA SUPPLY RATE: THE CONE SHEETS AND PARALLEL DIKE SWARMS OF THE MIOCENE OTOGE IGNEOUS COMPLEX, CENTRAL JAPAN. J. VOLCANOL. GEOTHERM. RES. 141 [2005] 267-281 	10.1016/j.jvolgeores.2004.11.002	y	1	5			GEOROC7865 OR "GEOROC 7865"	0														
419	GEOROC	8495	2	 CORDIER C., CLEMENT J.-P., CAROFF M., HEMOND C., BLAIS S., COTTEN J., BOLLINGER C., LAUNEAU P., GUILLE G.	J. PETROL. 46 [2005] 2281-2312 	PETROGENESIS OF COARSE-GRAINED INTRUSIVES FROM TAHITI NUI AND RAIATEA (SOCIETY ISLANDS, FRENCH POLYNESIA)	 CORDIER C., CLEMENT J.-P., CAROFF M., HEMOND C., BLAIS S., COTTEN J., BOLLINGER C., LAUNEAU P., GUILLE G.. PETROGENESIS OF COARSE-GRAINED INTRUSIVES FROM TAHITI NUI AND RAIATEA (SOCIETY ISLANDS, FRENCH POLYNESIA). J. PETROL. 46 [2005] 2281-2312 	10.1093/petrology/egi055	y	1	2			GEOROC8495 OR "GEOROC 8495"	0														
420	GEOROC	10589	2	 KAWAJIRI K.	J. GEOL. SOC. JAPAN 111 [2005] 332-349 	PETROLOGY OF GABBROIC ROCKS IN THE HIDA GAIEN BELT IN THE NORTHERN PART OF TAKAYAMA CITY, GIFU PREFECTURE, CENTRAL JAPAN	 KAWAJIRI K.. PETROLOGY OF GABBROIC ROCKS IN THE HIDA GAIEN BELT IN THE NORTHERN PART OF TAKAYAMA CITY, GIFU PREFECTURE, CENTRAL JAPAN. J. GEOL. SOC. JAPAN 111 [2005] 332-349 		y	1	2			GEOROC10589 OR "GEOROC 10589"	0														
421	GEOROC	8692	6	 MAXEINER R. O., CORRIGAN D., HARPER C. T., MACDOUGALL D. G., ANSDELL K.	PREC. RESEARCH 136 [2005] 67-106 	PALEOPROTEROZOIC ARC AND OPHIOLITIC ROCKS ON THE NORTHWEST-MARGIN OF THE TRANS-HUDSON OROGEN, SASKATCHEWAN, CANADA: THEIR CONTRIBUTION TO A REVISED TECTONIC FRAMEWORK FOR THE OROGEN	 MAXEINER R. O., CORRIGAN D., HARPER C. T., MACDOUGALL D. G., ANSDELL K.. PALEOPROTEROZOIC ARC AND OPHIOLITIC ROCKS ON THE NORTHWEST-MARGIN OF THE TRANS-HUDSON OROGEN, SASKATCHEWAN, CANADA: THEIR CONTRIBUTION TO A REVISED TECTONIC FRAMEWORK FOR THE OROGEN. PREC. RESEARCH 136 [2005] 67-106 	10.1016/j.precamres.2004.10.003	y	2	6			GEOROC8692 OR "GEOROC 8692"	0														
422	GEOROC	8663	21	 NARCISI B., PETIT J. R., DELMONTE B., BASILE-DOELSCH I., MAGGI V.	EARTH PLANET. SCI. LETT. 239 [2005] 253-265 	CHARACTERISTICS AND SOURCES OF TEPHRA LAYERS IN THE EPICA-DOME C ICE RECORD (EAST ANTARCTICA): IMPLICATIONS FOR PAST ATMOSPHERIC CIRCULATION AND ICE CORE STRATIGRAPHIC CORRELATIONS	 NARCISI B., PETIT J. R., DELMONTE B., BASILE-DOELSCH I., MAGGI V.. CHARACTERISTICS AND SOURCES OF TEPHRA LAYERS IN THE EPICA-DOME C ICE RECORD (EAST ANTARCTICA): IMPLICATIONS FOR PAST ATMOSPHERIC CIRCULATION AND ICE CORE STRATIGRAPHIC CORRELATIONS. EARTH PLANET. SCI. LETT. 239 [2005] 253-265 	10.1016/j.epsl.2005.09.005	y	2	21			GEOROC8663 OR "GEOROC 8663"	0														
423	GEOROC	12196	8	 ZHANG WENHUI, HAN BAOFU, DU WEI, LIU ZHIQIANG	ACTA PETROL. SINICA (YANSHI-XUEBAO) 21 [2005] 1569-1582 	CHARACTERISTICS OF MANTLE SOURCE FOR JINING CENOZOIC BASALTS FROM SOUTHERN INNER MONGOLIA: EVIDENCE FROM ELEMENT AND SR-ND-PB ISOTOPIC GEOCHEMISTRY	 ZHANG WENHUI, HAN BAOFU, DU WEI, LIU ZHIQIANG. CHARACTERISTICS OF MANTLE SOURCE FOR JINING CENOZOIC BASALTS FROM SOUTHERN INNER MONGOLIA: EVIDENCE FROM ELEMENT AND SR-ND-PB ISOTOPIC GEOCHEMISTRY. ACTA PETROL. SINICA (YANSHI-XUEBAO) 21 [2005] 1569-1582 		y	1	8			GEOROC12196 OR "GEOROC 12196"	0														
424	GEOROC	13690	13	 VALVERDE-VAQUERO P., MARCOS A., FARIAS P., GALLASTEGUI G.	GEOL. ACTA 3 [2005] 27-37 	U-PB DATING OF ORDOVICIAN FELSICH VOLCANISM IN THE SCHISTOSE DOMAIN OF THE GALICIA-TRAS-OS-MONTES ZONE NEAR CABO ORTEGAL (NW SPAIN)	 VALVERDE-VAQUERO P., MARCOS A., FARIAS P., GALLASTEGUI G.. U-PB DATING OF ORDOVICIAN FELSICH VOLCANISM IN THE SCHISTOSE DOMAIN OF THE GALICIA-TRAS-OS-MONTES ZONE NEAR CABO ORTEGAL (NW SPAIN). GEOL. ACTA 3 [2005] 27-37 		y	1	13			GEOROC13690 OR "GEOROC 13690"	0														
425	GEOROC	12195	6	 LAI YONG, LIU YULIN, HUANG BAOLING, CHEN YANJING	ACTA PETROL. SINICA (YANSHI-XUEBAO) 21 [2005] 1373-1381 	THE CHARACTERISTICS OF NOBLE GASES IN MANTLE-DERIVED XENOLITHS IN WUDALIANCHI AND KUANDIAN, NE CHINA	 LAI YONG, LIU YULIN, HUANG BAOLING, CHEN YANJING. THE CHARACTERISTICS OF NOBLE GASES IN MANTLE-DERIVED XENOLITHS IN WUDALIANCHI AND KUANDIAN, NE CHINA. ACTA PETROL. SINICA (YANSHI-XUEBAO) 21 [2005] 1373-1381 		y	1	6			GEOROC12195 OR "GEOROC 12195"	0														
426	GEOROC	7526	34	 SAVOV I. P., RYAN J. G., D^ANTONIO M., KELLEY K., MATTIE P.	GEOCHEMISTRY GEOPHYSICS GEOSYSTEMS 6 (2004GC000777) [2005] 	GEOCHEMISTRY OF SERPENTINIZED PERIDOTITES FROM THE MARIANA FOREARC CONICAL SEAMOUNT, ODP LEG 125: IMPLICATIONS FOR THE ELEMENTAL RECYCLING AT SUBDUCTION ZONES	 SAVOV I. P., RYAN J. G., D^ANTONIO M., KELLEY K., MATTIE P.. GEOCHEMISTRY OF SERPENTINIZED PERIDOTITES FROM THE MARIANA FOREARC CONICAL SEAMOUNT, ODP LEG 125: IMPLICATIONS FOR THE ELEMENTAL RECYCLING AT SUBDUCTION ZONES. GEOCHEMISTRY GEOPHYSICS GEOSYSTEMS 6 (2004GC000777) [2005] 	10.1029/2004GC000777	y	8	34			GEOROC7526 OR "GEOROC 7526"	0														
427	GEOROC	11417		 KECHID S. A., MEGARTSI M.	BULL. SERV. GEOL. ALGERIE 16 [2005] 127-149 	PETROGENESIS OF MAFIC XENOLITHS AND ULTRAMAFIC MELILITE-BEARING LAVAS OF IN TERIA (ILLIZI, ALGERIA)	 KECHID S. A., MEGARTSI M.. PETROGENESIS OF MAFIC XENOLITHS AND ULTRAMAFIC MELILITE-BEARING LAVAS OF IN TERIA (ILLIZI, ALGERIA). BULL. SERV. GEOL. ALGERIE 16 [2005] 127-149 		n					GEOROC11417 OR "GEOROC 11417"	0														
428	GEOROC	7510	3	 CLASS C., GOLDSTEIN S. L., STUTE M., KURZ M. D., SCHLOSSER P.	EARTH PLANET. SCI. LETT. 233 [2005] 391-409 	GRAND COMORE ISLAND: A WELL-CONSTRAINED ^LOW 3HE/4HE^ MANTLE PLUME	 CLASS C., GOLDSTEIN S. L., STUTE M., KURZ M. D., SCHLOSSER P.. GRAND COMORE ISLAND: A WELL-CONSTRAINED ^LOW 3HE/4HE^ MANTLE PLUME. EARTH PLANET. SCI. LETT. 233 [2005] 391-409 	10.1016/j.epsl.2005.02.029	y	1	3			GEOROC7510 OR "GEOROC 7510"	0														
429	GEOROC	7527	30	SHARP W. D., RENNE P. R.	GEOCHEMISTRY GEOPHYSICS GEOSYSTEMS 6 (2004GC000846) [2005] 	THE 40AR/39AR DATING OF CORE RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT (PHASE 2), HILO, HAWAII	SHARP W. D., RENNE P. R.. THE 40AR/39AR DATING OF CORE RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT (PHASE 2), HILO, HAWAII. GEOCHEMISTRY GEOPHYSICS GEOSYSTEMS 6 (2004GC000846) [2005] 	10.1029/2004GC000846	y	5	30			GEOROC7527 OR "GEOROC 7527"	0														
430	GEOROC	8501	7	GURENKO A. A., TRUMBULL R. B., THOMAS R., LINDSAY J. M.	J. PETROL. 46 [2005] 2495-2526 	A MELT INCLUSION RECORD OF VOLATILES, TRACE ELEMENTS AND LI-B ISOTOPE VARIATIONS IN A SINGLE MAGMA SYSTEM FROM THE PLAT PAYS VOLCANIC COMPLEX, DOMINICA, LESSER ANTILLES	GURENKO A. A., TRUMBULL R. B., THOMAS R., LINDSAY J. M.. A MELT INCLUSION RECORD OF VOLATILES, TRACE ELEMENTS AND LI-B ISOTOPE VARIATIONS IN A SINGLE MAGMA SYSTEM FROM THE PLAT PAYS VOLCANIC COMPLEX, DOMINICA, LESSER ANTILLES. J. PETROL. 46 [2005] 2495-2526 	10.1093/petrology/egi063	y	2	7			GEOROC8501 OR "GEOROC 8501"	0														
431	GEOROC	7978	45	WANG YUEJUN, FAN WEI-MING, PENG TOUPING, ZHANG HONG-FU, GUO FENG	CHEM. GEOL. 220 [2005] 165-189 	NATURE OF THE MESOZOIC LITHOSPHERIC MANTLE AND TECTONIC DECOUPLING BENEATH THE DABIE OROGEN, CENTRAL CHINA: EVIDENCE FROM 40AR/39AR GEOCHRONOLOGY, ELEMENTAL AND SR-ND-PB ISOTOPIC COMPOSITIONS OF EARLY CRETACEOUS MAFIC IGNEOUS ROCKS	WANG YUEJUN, FAN WEI-MING, PENG TOUPING, ZHANG HONG-FU, GUO FENG. NATURE OF THE MESOZOIC LITHOSPHERIC MANTLE AND TECTONIC DECOUPLING BENEATH THE DABIE OROGEN, CENTRAL CHINA: EVIDENCE FROM 40AR/39AR GEOCHRONOLOGY, ELEMENTAL AND SR-ND-PB ISOTOPIC COMPOSITIONS OF EARLY CRETACEOUS MAFIC IGNEOUS ROCKS. CHEM. GEOL. 220 [2005] 165-189 	10.1016/j.chemgeo.2005.02.020	y	1	45			GEOROC7978 OR "GEOROC 7978"	0														
432	GEOROC	7866	10	HARANGI S., MASON P. R. D., LUKACS R.	J. VOLCANOL. GEOTHERM. RES. 143 [2005] 237-257 	CORRELATION AND PETROGENESIS OF SILICIC PYROCLASTIC ROCKS IN THE NORTHERN PANNONIAN BASIN, EASTERN-CENTRAL EUROPE: IN SITU TRACE ELEMENT DATA OF GLASS SHARDS AND MINERAL CHEMICAL CONSTRAINTS	HARANGI S., MASON P. R. D., LUKACS R.. CORRELATION AND PETROGENESIS OF SILICIC PYROCLASTIC ROCKS IN THE NORTHERN PANNONIAN BASIN, EASTERN-CENTRAL EUROPE: IN SITU TRACE ELEMENT DATA OF GLASS SHARDS AND MINERAL CHEMICAL CONSTRAINTS. J. VOLCANOL. GEOTHERM. RES. 143 [2005] 237-257 	10.1016/j.jvolgeores.2004.11.012 	y	1	10			GEOROC7866 OR "GEOROC 7866"	0														
433	GEOROC	8743	2	 PAUL DALIM K.	J. ASIAN EARTH SCI. 25 [2005] 903-913 	PETROLOGY AND GEOCHEMISTRY OF THE SALMA DIKE, RANIGANJ COALFIELD (LOWER GONDWANA), EASTERN INDIA: LINKAGE WITH RAJMAHAL OR DECCAN VOLCANIC ACTIVITY?	 PAUL DALIM K.. PETROLOGY AND GEOCHEMISTRY OF THE SALMA DIKE, RANIGANJ COALFIELD (LOWER GONDWANA), EASTERN INDIA: LINKAGE WITH RAJMAHAL OR DECCAN VOLCANIC ACTIVITY?. J. ASIAN EARTH SCI. 25 [2005] 903-913 	10.1016/j.jseaes.2004.09.007 	y	1	2			GEOROC8743 OR "GEOROC 8743"	0														
434	GEOROC	8496	35	LEE CIN-TY A., LEEMAN W. P., CANIL D., LI ZHENG-XUE	J. PETROL. 46 [2005] 2313-2336 	SIMILAR V/SC SYSTEMATICS IN MORB AND ARC BASALTS: IMPLICATIONS FOR THE OXYGEN FUGACITIES OF THEIR MANTLE SOURCE REGIONS	LEE CIN-TY A., LEEMAN W. P., CANIL D., LI ZHENG-XUE. SIMILAR V/SC SYSTEMATICS IN MORB AND ARC BASALTS: IMPLICATIONS FOR THE OXYGEN FUGACITIES OF THEIR MANTLE SOURCE REGIONS. J. PETROL. 46 [2005] 2313-2336 	10.1093/petrology/egi056	y	1	35			GEOROC8496 OR "GEOROC 8496"	0														
435	GEOROC	14097	24	 MORGAN L. A., MCINTOSH W. C.	BULL. GEOL. SOC. AM. 117 [2005] 288-306 	TIMING AND DEVELOPMENT OF THE HEISE VOLCANIC FIELD, SNAKE RIVER PLAIN, IDAHO, WESTERN USA	 MORGAN L. A., MCINTOSH W. C.. TIMING AND DEVELOPMENT OF THE HEISE VOLCANIC FIELD, SNAKE RIVER PLAIN, IDAHO, WESTERN USA. BULL. GEOL. SOC. AM. 117 [2005] 288-306 	10.1130/B25519.1 	y	1	24			GEOROC14097 OR "GEOROC 14097"	0														
436	GEOROC	7402	4	 SALVIOLI-MARIANI E., RENZULLI A., SERRI G., HOLM P. M., TOSCANI L.	LITHOS 81 [2005] 255-277 	GLASS-BEARING CRUSTAL XENOLITHS (BUCHITES) ERUPTED DURING THE RECENT ACTIVITY OF STROMBOLI (AEOLIAN ISLANDS)	 SALVIOLI-MARIANI E., RENZULLI A., SERRI G., HOLM P. M., TOSCANI L.. GLASS-BEARING CRUSTAL XENOLITHS (BUCHITES) ERUPTED DURING THE RECENT ACTIVITY OF STROMBOLI (AEOLIAN ISLANDS). LITHOS 81 [2005] 255-277 	10.1016/j.lithos.2004.12.001	y	1	4			GEOROC7402 OR "GEOROC 7402"	0														
437	GEOROC	8185	4	JONASSON K.	J. VOLCANOL. GEOTHERM. RES. 147 [2005] 109-124 	MAGMATIC EVOLUTION OF THE HEIDARSPORDUR RIDGE, NE-ICELAND	JONASSON K.. MAGMATIC EVOLUTION OF THE HEIDARSPORDUR RIDGE, NE-ICELAND. J. VOLCANOL. GEOTHERM. RES. 147 [2005] 109-124 	10.1016/j.jvolgeores.2005.03.009	y	1	4			GEOROC8185 OR "GEOROC 8185"	0														
438	GEOROC	7568	25	FREY F. A., HUANG SHICHUN, BLICHERT-TOFT J., REGELOUS M., BOYET M.	GEOCHEMISTRY GEOPHYSICS GEOSYSTEMS 6 (2004GC000757) [2005] 	ORIGIN OF DEPLETED COMPONENTS IN BASALT RELATED TO THE HAWAIIAN HOT SPOT: EVIDENCE FROM ISOTOPIC AND INCOMPATIBLE ELEMENT RATIOS	FREY F. A., HUANG SHICHUN, BLICHERT-TOFT J., REGELOUS M., BOYET M.. ORIGIN OF DEPLETED COMPONENTS IN BASALT RELATED TO THE HAWAIIAN HOT SPOT: EVIDENCE FROM ISOTOPIC AND INCOMPATIBLE ELEMENT RATIOS. GEOCHEMISTRY GEOPHYSICS GEOSYSTEMS 6 (2004GC000757) [2005] 	10.1029/2004GC000757	y	6	25			GEOROC7568 OR "GEOROC 7568"	0														
439	GEOROC	11357	14	STOPPA F., ROSATELLI G., WALL F., JEFFRIES T. E.	LITHOS 85 [2005] 26-47 	GEOCHEMISTRY OF CARBONATITE-SILICATE PAITS IN NATURE; A CASE HISTORY FROM CENTRAL ITALY	STOPPA F., ROSATELLI G., WALL F., JEFFRIES T. E.. GEOCHEMISTRY OF CARBONATITE-SILICATE PAITS IN NATURE; A CASE HISTORY FROM CENTRAL ITALY. LITHOS 85 [2005] 26-47 	10.1016/j.lithos.2005.03.026	y	1	14			GEOROC11357 OR "GEOROC 11357"	0														
440	GEOROC	7176	12	 ELBURG M. A., FODEN J. D., VAN BERGEN M. J., ZULKARNAIN I.	J. VOLCANOL. GEOTHERM. RES. 140 [2005] 25-47 	AUSTRALIA AND INDONESIA IN COLLISION: GEOCHEMICAL SOURCES OF MAGMATISM	 ELBURG M. A., FODEN J. D., VAN BERGEN M. J., ZULKARNAIN I.. AUSTRALIA AND INDONESIA IN COLLISION: GEOCHEMICAL SOURCES OF MAGMATISM. J. VOLCANOL. GEOTHERM. RES. 140 [2005] 25-47 	10.1016/j.jvolgeores.2004.07.014	y	1	12			GEOROC7176 OR "GEOROC 7176"	0														
441	GEOROC	8809	6	 MURRAY C. G., BLAKE P. R.	AUSTR. J. EARTH SCI. 52 [2005] 993-1034 	GEOCHEMICAL DISCRIMINATION OF TECTONIC SETTING FOR DEVONIAN BASALTS OF THE YARROL PROVINCE OF THE NEW ENGLAND OROGEN, CENTRAL COASTAL QUEENSLAND: AN EMPIRICAL APPROACH	 MURRAY C. G., BLAKE P. R.. GEOCHEMICAL DISCRIMINATION OF TECTONIC SETTING FOR DEVONIAN BASALTS OF THE YARROL PROVINCE OF THE NEW ENGLAND OROGEN, CENTRAL COASTAL QUEENSLAND: AN EMPIRICAL APPROACH. AUSTR. J. EARTH SCI. 52 [2005] 993-1034 	10.1080/08120090500302327	y	1	6			GEOROC8809 OR "GEOROC 8809"	0														
442	GEOROC	10596	1	SHIKAZONO N., TAKINO A., OHTANI H.	GEOCHEM. J. 39 [2005] 185-196 	AN ESTIMATE OF DISSOLUTION RATE CONSTANT OF VOLCANIC GLASS IN VOLCANIC ASH SOIL FROM THE MT. FUJI AREA, CENTRAL JAPAN	SHIKAZONO N., TAKINO A., OHTANI H.. AN ESTIMATE OF DISSOLUTION RATE CONSTANT OF VOLCANIC GLASS IN VOLCANIC ASH SOIL FROM THE MT. FUJI AREA, CENTRAL JAPAN. GEOCHEM. J. 39 [2005] 185-196 	10.2343/geochemj.39.185	y	1	1			GEOROC10596 OR "GEOROC 10596"	0														
443	GEOROC	8657	15	 BLARD P.-H., LAVÃ‰ J., PIK R., QUIDELLEUR X., BOURLES D., KIEFFER G.	EARTH PLANET. SCI. LETT. 236 [2005] 613-631 	FOSSIL COSMOGENIC 3HE RECORD FROM K-AR DATED BASALTIC FLOWS OF MOUNT ETNA VOLCANO (SICILY, 38Â°N): EVALUATION OF A NEW PALEOALTIMETER	 BLARD P.-H., LAVÃ‰ J., PIK R., QUIDELLEUR X., BOURLES D., KIEFFER G.. FOSSIL COSMOGENIC 3HE RECORD FROM K-AR DATED BASALTIC FLOWS OF MOUNT ETNA VOLCANO (SICILY, 38Â°N): EVALUATION OF A NEW PALEOALTIMETER. EARTH PLANET. SCI. LETT. 236 [2005] 613-631 	10.1016/j.epsl.2005.05.028	y	1	15			GEOROC8657 OR "GEOROC 8657"	0														
444	GEOROC	11987	29	 ZHENG JIAN-PING, ZHANG RUTH Y., GRIFFIN W. L., LIOU J. G., O^REILLY S. Y.	CHEM. GEOL. 221 [2005] 243-259 	HETEROGENEOUS AND METASOMATIZED MANTLE RECORDED BY TRACE ELEMENTS IN MINERALS OF THE DONGHAI GARNET PERIDOTITES, SULU UHP TERRANE, CHINA	 ZHENG JIAN-PING, ZHANG RUTH Y., GRIFFIN W. L., LIOU J. G., O^REILLY S. Y.. HETEROGENEOUS AND METASOMATIZED MANTLE RECORDED BY TRACE ELEMENTS IN MINERALS OF THE DONGHAI GARNET PERIDOTITES, SULU UHP TERRANE, CHINA. CHEM. GEOL. 221 [2005] 243-259 	10.1016/j.chemgeo.2005.05.002	y	1	29			GEOROC11987 OR "GEOROC 11987"	0														
445	GEOROC	12982		GUTIERREZ M., GIONCADA A., GONZALES FERRAN O., LAHSEN A., MAZZUOLI R.	J. VOLCANOL. GEOTHERM. RES. 145 [2005] 207-233 	THE HUDSON VOLCANO AND SURROUNDING MONOGENETIC CENTRES (CHILEAN PATAGONIA): AN EXAMPLE OF VOLCANISM ASSOCIATED WITH RIDGE-TRENCH COLLISION ENVIRONMENT	GUTIERREZ M., GIONCADA A., GONZALES FERRAN O., LAHSEN A., MAZZUOLI R.. THE HUDSON VOLCANO AND SURROUNDING MONOGENETIC CENTRES (CHILEAN PATAGONIA): AN EXAMPLE OF VOLCANISM ASSOCIATED WITH RIDGE-TRENCH COLLISION ENVIRONMENT. J. VOLCANOL. GEOTHERM. RES. 145 [2005] 207-233 	10.1016/j.jvolgeores.2005.01.014	n					GEOROC12982 OR "GEOROC 12982"	0														
446	GEOROC	8074	4	HARE A. G., CAS R. A. F., MUSGRAVE R., PHILLIPS D.	AUSTR. J. EARTH SCI. 52 [2005] 41-57 	MAGNETIC AND CHEMICAL STRATIGRAPHY FOR THE WERRIBEE PLAINS BASALTIC LAVA FLOW-FIELD, NEWER VOLCANICS PROVINCE, SOUTHEAST AUSTRALIA: IMPLICATIONS FOR ERUPTION FREQUENCY	HARE A. G., CAS R. A. F., MUSGRAVE R., PHILLIPS D.. MAGNETIC AND CHEMICAL STRATIGRAPHY FOR THE WERRIBEE PLAINS BASALTIC LAVA FLOW-FIELD, NEWER VOLCANICS PROVINCE, SOUTHEAST AUSTRALIA: IMPLICATIONS FOR ERUPTION FREQUENCY. AUSTR. J. EARTH SCI. 52 [2005] 41-57 	10.1080/08120090500100069	y	1	4			GEOROC8074 OR "GEOROC 8074"	0														
447	GEOROC	9165	3	 SPROULE R. A., LESHER C. M., HOULÃ‰ M. G., KEAYS R. R., AYER J. A., THURSTON P. C.	ECON. GEOL. 100 [2005] 1169-1190 	CHALCOPHILE ELEMENT GEOCHEMISTRY AND METALLOGENESIS OF KOMATIITIC ROCKS IN THE ABITIBI GREENSTONE BELT, CANADA	 SPROULE R. A., LESHER C. M., HOULÃ‰ M. G., KEAYS R. R., AYER J. A., THURSTON P. C.. CHALCOPHILE ELEMENT GEOCHEMISTRY AND METALLOGENESIS OF KOMATIITIC ROCKS IN THE ABITIBI GREENSTONE BELT, CANADA. ECON. GEOL. 100 [2005] 1169-1190 	10.2113/gsecongeo.100.6.1169	y	1	3			GEOROC9165 OR "GEOROC 9165"	0														
448	GEOROC	8786		 DE SOUZA Z. S., DO NASCIMENTO M. A. L., BARBOSA R. V. N., DA SILVEIRA DIAS L. G.	J. S. AMER. EARTH SCI. 18 [2005] 391-405 	GEOLOGY AND TECTONICS OF THE BOA VISTA BASIN (PARAÃçBA, NORTHEASTERN BRAZIL) AND GEOCHEMISTRY OF ASSOCIATED CENOZOIC THOLEIITIC MAGMATISM	 DE SOUZA Z. S., DO NASCIMENTO M. A. L., BARBOSA R. V. N., DA SILVEIRA DIAS L. G.. GEOLOGY AND TECTONICS OF THE BOA VISTA BASIN (PARAÃçBA, NORTHEASTERN BRAZIL) AND GEOCHEMISTRY OF ASSOCIATED CENOZOIC THOLEIITIC MAGMATISM. J. S. AMER. EARTH SCI. 18 [2005] 391-405 	10.1016/j.jsames.2004.11.007	n					GEOROC8786 OR "GEOROC 8786"	0														
449	GEOROC	7508	16	ESCRIG S., DOUCELANCE R., MOREIRA M. A., ALLEGRE C.-J.	CHEM. GEOL. 219 [2005] 93-113 	OS ISOTOPE SYSTEMATICS IN FOGO ISLAND: EVIDENCE FOR LOWER CONTINENTAL CRUST FRAGMENTS UNDER THE CAPE VERDE SOUTHERN ISLANDS	ESCRIG S., DOUCELANCE R., MOREIRA M. A., ALLEGRE C.-J.. OS ISOTOPE SYSTEMATICS IN FOGO ISLAND: EVIDENCE FOR LOWER CONTINENTAL CRUST FRAGMENTS UNDER THE CAPE VERDE SOUTHERN ISLANDS. CHEM. GEOL. 219 [2005] 93-113 	10.1016/j.chemgeo.2005.02.011	y	1	16			GEOROC7508 OR "GEOROC 7508"	0														
450	GEOROC	8669	29	ROONEY T. O., FURMAN T., YIRGU G., AYALEW D.	GEOCHIM. COSMOCHIM. ACTA 69 [2005] 3889-3910 	STRUCTURE OF THE ETHIOPIAN LITHOSPHERE: XENOLITH EVIDENCE IN THE MAIN ETHIOPIAN RIFT	ROONEY T. O., FURMAN T., YIRGU G., AYALEW D.. STRUCTURE OF THE ETHIOPIAN LITHOSPHERE: XENOLITH EVIDENCE IN THE MAIN ETHIOPIAN RIFT. GEOCHIM. COSMOCHIM. ACTA 69 [2005] 3889-3910 	10.1016/j.gca.2005.03.043	y	1	29			GEOROC8669 OR "GEOROC 8669"	0														
451	GEOROC	7863	13	AUBAUD C., PINEAU F., HÃ‰KINIAN R., JAVOY M.	EARTH PLANET. SCI. LETT. 235 [2005] 511-527 	DEGASSING OF CO2 AND H2O IN SUBMARINE LAVAS FROM THE SOCIETY HOTSPOT	AUBAUD C., PINEAU F., HÃ‰KINIAN R., JAVOY M.. DEGASSING OF CO2 AND H2O IN SUBMARINE LAVAS FROM THE SOCIETY HOTSPOT. EARTH PLANET. SCI. LETT. 235 [2005] 511-527 	10.1016/j.epsl.2005.04.047	y	1	13			GEOROC7863 OR "GEOROC 7863"	0														
452	GEOROC	7507	3	RODRIGUEZ-VARGAS A., KOESTER E., MALLMANN G., CONCEICAO R. V., KAWASHITA K., WEBER M. B. I.	LITHOS 82 [2005] 471-484 	MANTLE DIVERSITY BENEATH THE COLOMBIAN ANDES, NORTHERN VOLCANIC ZONE: CONSTRAINTS FROM SR AND ND ISOTOPES	RODRIGUEZ-VARGAS A., KOESTER E., MALLMANN G., CONCEICAO R. V., KAWASHITA K., WEBER M. B. I.. MANTLE DIVERSITY BENEATH THE COLOMBIAN ANDES, NORTHERN VOLCANIC ZONE: CONSTRAINTS FROM SR AND ND ISOTOPES. LITHOS 82 [2005] 471-484 	10.1016/j.lithos.2004.09.027	y	1	3			GEOROC7507 OR "GEOROC 7507"	0														
